projektzuordnung,aktenzeichen,aussergerichtliche_za_verschickt_datum,vergleich_annahme_durch_VW,I. Instanz: Urteil,Verkauft,Verkaufspreis,FIN,Gebühren erhalten,"Gebühren abweichend von 2,8",extracted_amount,EUR Amount
sk_grossmigration_2021,000443-2022/001:00,1/13/2022 11:50,10/19/2023,Vergleich,0,,WVWZZZ7NZFV050323,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,000455-2022/001:00,1/28/2022 8:14,11/8/2023,Vergleich,0,,WVWZZZ3CZEE099402,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,000458-2022/001:00,1/28/2022 8:17,1/6/2024,Vergleich,0,,wvgzzz1tzbw003186,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000459-2022/001:00,1/28/2022 8:28,1/6/2024,Vergleich,0,,WVWZZZ1KZCW126873,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000461-2022/001:00,1/28/2022 8:36,1/6/2024,Vergleich,0,,WV2ZZZ2KZCX005273,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000548-2022/001:00,1/18/2022 15:57,9/29/2023,Vergleich,0,,WVWZZZ7NZFV018941,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000557-2022/001:00,1/18/2022 15:59,9/29/2023,Vergleich,0,,WVWZZZ3CZBE388658,"€ 1,993.85",,"1.993,85 EUR","1.993,85 "
sk_grossmigration_2021,000567-2022/001:00,1/18/2022 16:02,9/29/2023,Vergleich,0,,WVWZZZ3CZEE015014,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
sk_grossmigration_2021,000570-2022/001:00,1/18/2022 16:09,9/29/2023,Vergleich,0,,WVGZZZ5NZBW043676,"€ 1,164.89",,"1.164,89 EUR","1.164,89 "
sk_grossmigration_2021,000572-2022/001:00,1/18/2022 16:11,9/29/2023,Vergleich,0,,WVGZZZ5NZFW000980,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000578-2022/001:00,1/18/2022 16:20,9/29/2023,Vergleich,0,,WVWZZZ7NZDV025026,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000446-2022/001:00,1/13/2022 11:59,11/8/2023,Vergleich,1,,WV2ZZZ2KZCX040508,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,000450-2022/001:00,1/13/2022 14:31,9/29/2023,Vergleich,0,,WVWZZZ1FZDV004684,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000480-2022/001:00,1/13/2022 14:47,9/29/2023,Vergleich,0,,WVGZZZ1TZFW091956,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000510-2022/001:00,1/13/2022 11:24,9/29/2023,Vergleich,0,,WVWZZZ7NZEV013447,"€ 1,993.85",,"1.993,85 EUR","1.993,85 "
sk_grossmigration_2021,000511-2022/001:00,1/13/2022 11:26,9/29/2023,Vergleich,0,,WVGZZZ5NZCW060303,"€ 2,259.93",,"2.259,93 EUR","2.259,93 "
sk_grossmigration_2021,000520-2022/001:00,1/13/2022 11:32,11/8/2023,Vergleich,0,,WVWZZZ1KZCM625001,€ 878.34,,"878,34 EUR","878,34 "
sk_grossmigration_2021,000469-2022/001:00,1/14/2022 13:06,9/29/2023,Vergleich,0,,WVWZZZ3CZEE156035,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000474-2022/001:00,1/14/2022 13:13,3/13/2024,Vergleich,0,,WVGZZZ5NZCW033788,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,000483-2022/001:00,1/18/2022 17:29,7/26/2023,Vergleich,0,,WVGZZZ5NZEW054631,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000489-2022/001:00,1/18/2022 17:40,7/26/2023,Vergleich,0,,TMBLE73T3F9018848,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000494-2022/001:00,1/18/2022 17:46,1/6/2024,Vergleich,0,,WVWZZZ7NZCV043670,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000500-2022/001:00,1/18/2022 17:51,9/29/2023,Vergleich,0,,WVGZZZ1TZCW087883,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
sk_grossmigration_2021,000502-2022/001:00,1/18/2022 17:52,9/29/2023,Vergleich,0,,WVGZZZ5NZDW012472,"€ 1,993.85",,"1.993,85 EUR","1.993,85 "
sk_grossmigration_2021,000523-2022/001:00,1/13/2022 11:35,10/19/2023,Vergleich,0,,WVWZZZ6RZBY137778,€ 878.34,,"878,34 EUR","878,34 "
sk_grossmigration_2021,000464-2022/001:00,1/13/2022 10:07,7/26/2023,Vergleich,0,,WV2ZZZ2KZFX091755,"€ 1,993.85",,"1.993,85 EUR","1.993,85 "
sk_grossmigration_2021,000533-2022/001:00,1/14/2022 7:26,9/29/2023,Vergleich,0,,WVWZZZ3CZBE351711,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,000541-2022/001:00,2/7/2022 7:22,10/19/2023,Vergleich,0,,VSSZZZ3RZBR001018,€ 591.79,,"591,79 EUR","591,79 "
sk_grossmigration_2021,000466-2022/001:00,1/13/2022 10:11,1/6/2024,Vergleich,0,,WVGZZZ5NZAW039862,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000609-2022/001:00,1/21/2022 9:20,4/16/2024,Vergleich,0,,WVWZZZ3CZBE373323,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,000542-2022/001:00,1/13/2022 13:08,10/19/2023,Vergleich,0,,wvwzzz3cz9e538576,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,000476-2022/001:00,3/30/2022 11:30,9/29/2023,Vergleich,0,,TMBLE73T0E9031121,"€ 1,340.10",,"1.340,10 EUR","1.340,10 "
sk_grossmigration_2021,004310-2022/001:00,2/3/2022 11:55,11/6/2023,Vergleich,1,21202.75,WVGZZZ5NZDW114993,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000611-2022/001:00,1/19/2022 10:48,9/29/2023,Vergleich,0,,WVGZZZ5NZEW116994,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000544-2022/001:00,1/18/2022 18:04,9/29/2023,Vergleich,0,,WVGZZZ5NZ8W004503,"€ 1,164.89",,"1.164,89 EUR","1.164,89 "
sk_grossmigration_2021,000553-2022/001:00,1/24/2022 6:26,7/26/2023,Vergleich,0,,WVWZZZ1KZDW569097,"€ 1,563.70",,"1.563,70 EUR","1.563,70 "
sk_grossmigration_2021,000491-2022/001:00,1/13/2022 10:47,9/29/2023,Vergleich,0,,WVGZZZ5NZEW122492,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000565-2022/001:00,1/24/2022 6:35,9/29/2023,Vergleich,0,,VSSZZZ7NZFV507291,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000576-2022/001:00,1/14/2022 7:35,9/29/2023,Vergleich,0,,WVWZZZ3CZBE322401,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
sk_grossmigration_2021,000580-2022/001:00,1/13/2022 13:52,9/29/2023,Vergleich,0,,WVGZZZ5NZDW018642,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,000587-2022/001:00,1/13/2022 13:58,9/29/2023,Vergleich,0,,VSSZZZ7NZFV519414,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000499-2022/001:00,1/13/2022 11:24,10/2/2023,Vergleich,0,,TMBLD75L1D6018572,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,000596-2022/001:00,1/13/2022 14:16,10/19/2023,Vergleich,0,,WVGZZZ5NZDW054301,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,000603-2022/001:00,1/13/2022 14:24,9/29/2023,Vergleich,0,,WVGZZZ5NZEW069655,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000583-2022/001:00,1/18/2022 16:25,1/6/2024,Vergleich,0,,WVGZZZ1TZEW070461,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000633-2022/001:00,1/18/2022 16:35,10/19/2023,Vergleich,0,,WVGZZZ1TZCW002766,€ 735.06,,"735,06 EUR","735,06 "
sk_grossmigration_2021,000501-2022/001:00,1/13/2022 11:07,3/13/2024,Vergleich,1,5500,WVGZZZ5NZBW085962,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,000635-2022/001:00,1/18/2022 16:39,11/8/2023,Vergleich,1,7990,WAUZZZ8K8CA044458,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,000637-2022/001:00,1/18/2022 16:42,9/29/2023,Vergleich,0,,WVWZZZ7NZEV028857,"€ 2,126.89",,"2.126,89 EUR","2.126,89 "
sk_grossmigration_2021,000638-2022/001:00,1/18/2022 16:43,10/2/2023,Vergleich,0,,WVGZZZ5NZCW599863,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000506-2022/001:00,1/13/2022 11:08,9/29/2023,Vergleich,0,,TMBNE73T3F9034492,"€ 1,594.72",,"1.594,72 EUR","1.594,72 "
sk_grossmigration_2021,001002-2022/001:00,1/20/2022 17:25,10/19/2023,Vergleich,0,,WVWZZZ6RZAY029723,€ 0.00,,"0,00 EUR","0,00 "
sk_grossmigration_2021,000628-2022/001:00,1/28/2022 14:39,7/26/2023,Vergleich,0,,WVWZZZ3CZEE034089,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000626-2022/001:00,1/28/2022 14:47,10/19/2023,Vergleich,0,,WVWZZZ7NZCV014559,"€ 1,021.62",,"1.021,62 EUR","1.021,62 "
sk_grossmigration_2021,000621-2022/001:00,1/19/2022 11:06,9/29/2023,Vergleich,0,,WVGZZZ5NZEW115170,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000622-2022/001:00,1/19/2022 11:09,9/29/2023,Vergleich,0,,WVWZZZ1FZBV009573,"€ 1,164.89",,"1.164,89 EUR","1.164,89 "
sk_grossmigration_2021,000632-2022/001:00,1/28/2022 14:53,10/19/2023,Vergleich,0,,VSSZZZ7NZCV519633,€ 878.34,,"878,34 EUR","878,34 "
sk_grossmigration_2021,000642-2022/001:00,1/18/2022 16:53,9/29/2023,Vergleich,0,,WVGZZZ5NZ9W070850,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000644-2022/001:00,1/18/2022 16:57,9/29/2023,Vergleich,0,,WVGZZZ5NZBW036781,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000697-2022/001:00,1/18/2022 17:08,9/29/2023,Vergleich,0,,WVGZZZ5NZ9W047043,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000620-2022/001:00,1/14/2022 11:00,10/19/2023,Vergleich,0,,WVGZZZ5NZBW102186,€ 878.34,,"878,34 EUR","878,34 "
sk_grossmigration_2021,000646-2022/001:00,1/14/2022 11:14,9/29/2023,Vergleich,0,,WVGZZZ1TZEW048371,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,000655-2022/001:00,1/14/2022 11:50,2/20/2024,Vergleich,0,,WVgzzz1tzcw012016,"€ 1,130.50",,"1.130,50 EUR","1.130,50 "
sk_grossmigration_2021,000516-2022/001:00,1/13/2022 11:20,10/19/2023,Vergleich,0,,WVWZZZ3CZ8E206989,€ 878.34,,"878,34 EUR","878,34 "
sk_grossmigration_2021,000661-2022/001:00,1/14/2022 12:07,8/8/2023,Vergleich,0,,WAUZZZ8K9DA191177,"€ 2,467.17",,"2.467,17 EUR","2.467,17 "
sk_grossmigration_2021,000685-2022/001:00,1/14/2022 9:30,9/29/2023,Vergleich,0,,WVWZZZ3CZAE030884,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,000577-2022/001:00,1/13/2022 13:20,6/7/2024,Vergleich,1,22750,WAUZZZ8T3EA042919,"€ 1,860.80",,"1.860,80 EUR","1.860,80 "
sk_grossmigration_2021,000706-2022/001:00,1/14/2022 9:43,9/29/2023,Vergleich,0,,WVWZZZ3CZBE333320,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000723-2022/001:00,1/14/2022 9:53,7/25/2023,Vergleich,0,,WV2ZZZ2KZDX110703,€ 819.91,,"819,91 EUR","819,91 "
sk_grossmigration_2021,000664-2022/001:00,1/24/2022 6:36,9/29/2023,Vergleich,0,,WVGZZZ5NZCW044511,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,000665-2022/001:00,1/24/2022 6:37,10/19/2023,Vergleich,0,,VSSZZZ5PZBR018689,€ 448.51,,"448,51 EUR","448,51 "
sk_grossmigration_2021,000668-2022/001:00,1/24/2022 6:39,9/29/2023,Vergleich,0,,WVWZZZ1KZDW519549,"€ 1,308.17",,"1.308,17 EUR","1.308,17 "
sk_grossmigration_2021,000677-2022/001:00,1/24/2022 6:55,9/29/2023,Vergleich,0,,WVGZZZ5NZCW023492,"€ 1,727.76",,"1.727,76 EUR","1.727,76 "
sk_grossmigration_2021,000679-2022/001:00,1/24/2022 6:57,9/29/2023,Vergleich,0,,WAUZZZ8K2BN045788,"€ 1,164.89",,"1.164,89 EUR","1.164,89 "
sk_grossmigration_2021,000714-2022/001:00,1/24/2022 7:00,2/20/2024,Vergleich,0,,WVGZZZ1TZEW034609,€ 0.00,,"0,00 EUR","0,00 "
